Key,Value/Id,Value/ShardId,Value/ShardRate,Value/RareItemId,Value/RareItemQuantity,Value/RareItemRate,Value/CommonItemId,Value/CommonItemQuantity,Value/CommonRate,Value/RareIngredientId,Value/RareIngredientQuantity,Value/RareIngredientRate,Value/CommonIngredientId,Value/CommonIngredientQuantity,Value/CommonIngredientRate,Value/CoinType,Value/CoinOverride,Value/CoinRate,Value/AreaChangeTreasureFlag
Tresurebox_SAN_Awhip,40,None,0,Potion,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Tresurebox_SAN_Dull,41,None,0,Potion,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Tresurebox_SAN_Claymore,42,None,0,Potion,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Tresurebox_SAN_Headband,43,None,0,Potion,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Tresurebox_SAN_Morgenstern,44,None,0,Potion,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Tresurebox_SAN_Baselard,45,None,0,Potion,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Tresurebox_SAN_High_Potion,46,None,0,Potion,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Tresurebox_SAN_High_Potion,47,None,0,Potion,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Tresurebox_SAN_High_Potion,48,None,0,Potion,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Tresurebox_SAN_High_Ether,49,None,0,Potion,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Tresurebox_SAN_High_Ether,50,None,0,Potion,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Tresurebox_SAN_High_Ether,51,None,0,Potion,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_SIP000_Tutorial,53,None,0,Knife,1,100,KungFuShoes,1,100,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_SIP002,54,None,0,Potion,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_SIP003,55,None,0,RustedRing,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_SIP004,56,None,0,Countrydress,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_SIP005,57,None,0,Tunic,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_SIP005,58,None,0,Potion,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_SIP006,59,None,0,Headband,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_SIP007,60,None,0,Musketon,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_SIP007,61,None,0,Softpoint,5,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_SIP009,62,None,0,Bronze,1,40,Hemp,1,40,Halite,1,40,Sugar,1,40,EDropCoin::D10,10,0,true
Treasurebox_SIP011,63,None,0,ShortSword,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_SIP011,64,None,0,Bronze,1,40,Hemp,1,40,Halite,1,40,Sugar,1,40,EDropCoin::D10,10,0,true
Treasurebox_SIP011,65,None,0,Softpoint,5,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_SIP011,66,None,0,ShipMap,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_SIP012,67,None,0,Bronze,1,40,Hemp,1,40,Halite,1,40,Sugar,1,40,EDropCoin::D10,10,0,true
Treasurebox_SIP013,68,None,0,Turbinemuffler,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_SIP014,69,None,0,Triplet,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_SIP014,70,None,0,Potion,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_SIP015,71,None,0,Bronze,1,40,Hemp,1,40,Halite,1,40,Sugar,1,40,EDropCoin::D10,10,0,true
Treasurebox_SIP016,72,None,0,Claymore,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_SIP017,73,None,0,SeedCorn,1,100,SeedRice,1,100,SeedPotato,1,100,0,0,0,EDropCoin::D10,10,0,true
Treasurebox_SIP018,74,None,0,Awhip,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_SIP019,75,None,0,None,0,0,None,0,0,None,0,0,None,0,0,EDropCoin::D1000,500,100,false
Treasurebox_SIP020,76,None,0,Potion,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_SIP021,77,None,0,Potion,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_SIP021,78,None,0,None,0,0,None,0,0,None,0,0,None,0,0,EDropCoin::D1000,500,100,false
Treasurebox_SIP024,79,None,0,MaxBulletUP,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_SIP024,80,None,0,Carvalin,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_SIP025,81,None,0,None,0,0,None,0,0,None,0,0,None,0,0,EDropCoin::D1000,1000,100,false
Treasurebox_SIP025,82,None,0,MaxMPUP,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_SIP026,83,None,0,PirateTriangleCap,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_VIL001,85,None,0,None,0,0,None,0,0,None,0,0,None,0,0,EDropCoin::D1000,500,100,false
Treasurebox_VIL003,86,None,0,Waystone,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_VIL005,87,None,0,Gebelsglasses,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_VIL006,88,None,0,Elfearcap,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_VIL006,89,None,0,Hollowpoint,5,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_VIL006,90,None,0,MaxBulletUP,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_VIL006,91,None,0,MaxBulletUP,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_VIL007,92,None,0,Baselard,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_VIL008,93,None,0,MaxHPUP,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_VIL008,94,None,0,MaxMPUP,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_VIL010,95,None,0,8BitCoin,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_ENT002,97,None,0,Skinbreastplate,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_ENT002,98,None,0,Iron,1,40,ElmLumber,1,40,Bronze,1,50,Hemp,1,40,EDropCoin::D50,50,0,true
Treasurebox_ENT002,99,None,0,None,0,0,None,0,0,None,0,0,None,0,0,EDropCoin::D1000,1000,100,false
Treasurebox_ENT004,100,None,0,None,0,0,None,0,0,None,0,0,None,0,0,EDropCoin::D1000,500,100,false
Treasurebox_ENT005,101,None,0,Ether,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_ENT005,102,None,0,MaxBulletUP,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_ENT007,103,None,0,MaxHPUP,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_ENT007,104,None,0,Mithridate,1,40,Obsidian,1,40,Iron,1,40,ElmLumber,1,40,EDropCoin::D50,50,0,true
Treasurebox_ENT007,105,None,0,Branderbus,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_ENT008,106,None,0,Potion,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_ENT009,107,None,0,KillerBoots,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_ENT011,108,None,0,ItemRecipe001,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_ENT011,109,None,0,Iron,1,40,ElmLumber,1,40,Bronze,1,50,Hemp,1,40,EDropCoin::D50,50,0,true
Treasurebox_ENT012,110,None,0,HighEther,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_ENT014,111,None,0,Waystone,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_ENT014,112,None,0,MaxBulletUP,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_ENT014,113,None,0,MaxHPUP,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_ENT015,114,None,0,Iron,1,40,ElmLumber,1,40,Bronze,1,50,Hemp,1,40,EDropCoin::D50,50,0,true
Treasurebox_ENT018,115,None,0,Mithridate,1,40,Obsidian,1,40,Iron,1,40,ElmLumber,1,40,EDropCoin::D50,50,0,true
Treasurebox_ENT018,116,None,0,Mithridate,1,40,Obsidian,1,40,Iron,1,40,ElmLumber,1,40,EDropCoin::D50,50,0,true
Treasurebox_ENT020,117,None,0,Santacap,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_ENT020,118,None,0,MaxBulletUP,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_ENT021,119,None,0,MaxHPUP,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_ENT022,120,None,0,Crowhat,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_ENT024,121,None,0,DishRecipe005,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_ENT024,122,None,0,MaxBulletUP,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_ENT024,123,None,0,Emerald,1,40,Ruby,1,40,Sapphire,1,40,Silver,1,30,EDropCoin::D100,100,0,true
Treasurebox_GDN002,125,None,0,MaxHPUP,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_GDN004,126,None,0,Morgenstern,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_GDN006,127,None,0,Beastberet,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_GDN006,128,None,0,ArmsRecipe004,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_GDN006,129,None,0,MaxMPUP,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_GDN006,130,None,0,MaxHPUP,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_GDN006,131,None,0,KungFuBest,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_GDN007,132,None,0,None,0,0,None,0,0,None,0,0,None,0,0,EDropCoin::D1000,500,100,false
Treasurebox_GDN009,133,None,0,ItemRecipe003,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_GDN009,134,None,0,MaxHPUP,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_GDN010,135,None,0,Ginger,1,40,Steel,1,40,Cotton,1,50,OakLumber,1,30,EDropCoin::D50,50,0,true
Treasurebox_GDN012,136,None,0,None,0,0,None,0,0,None,0,0,None,0,0,EDropCoin::D1000,500,100,false
Treasurebox_GDN012,137,None,0,MaxMPUP,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_GDN013,138,None,0,Blackbelt,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_GDN013,139,None,0,Ginger,1,40,Steel,1,40,Cotton,1,50,OakLumber,1,30,EDropCoin::D50,50,0,true
Treasurebox_GDN013,140,None,0,MaxBulletUP,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_GDN013,141,None,0,Moonring,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_GDN014,142,None,0,Potion,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_SAN000,144,None,0,Flanders,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_SAN000,145,None,0,Potion,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_SAN003,146,None,0,McAutil,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_SAN003,147,None,0,WorldfashionNo02,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_SAN003,148,None,0,Potion,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_SAN003,149,None,0,MaxHPUP,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_SAN003,150,None,0,MaxMPUP,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_SAN003,151,None,0,MaxBulletUP,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_SAN003,152,None,0,Mithridate,1,40,Obsidian,1,40,Iron,1,40,ElmLumber,1,40,EDropCoin::D50,50,0,true
Treasurebox_SAN003,153,None,0,MaxBulletUP,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_SAN005,154,None,0,DanceMask,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_SAN005,155,None,0,MaxBulletUP,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_SAN005,156,None,0,Mithridate,1,40,Obsidian,1,40,Iron,1,40,ElmLumber,1,40,EDropCoin::D50,50,0,true
Treasurebox_SAN005,157,None,0,Potion,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_SAN009,158,None,0,WorldfashionNo10,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_SAN009,159,None,0,Worldfashionfirstissue,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_SAN009,160,None,0,Mithridate,1,40,Obsidian,1,40,Iron,1,40,ElmLumber,1,40,EDropCoin::D50,50,0,true
Treasurebox_SAN013,161,None,0,UnicornRing,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_SAN013,162,None,0,MaxHPUP,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_SAN014,163,None,0,CrusadeArmor,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_SAN015,164,None,0,Mithridate,1,40,Obsidian,1,40,Iron,1,40,ElmLumber,1,40,EDropCoin::D50,50,0,true
Treasurebox_SAN015,165,None,0,MaxHPUP,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_SAN015,166,None,0,MaxMPUP,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_SAN016,167,None,0,SpongeCake,1,50,Mithril,1,40,Felt,1,50,Platinum,1,20,EDropCoin::D500,500,0,true
Treasurebox_SAN016,168,None,0,SpongeCake,1,50,Mithril,1,40,Felt,1,50,Platinum,1,20,EDropCoin::D500,500,0,true
Treasurebox_SAN016,169,None,0,ScrambledEggs,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_SAN016,170,None,0,None,0,0,None,0,0,None,0,0,None,0,0,EDropCoin::D1000,2000,100,false
Treasurebox_SAN016,171,None,0,MaxHPUP,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_SAN017,172,None,0,DishRecipe010,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_SAN017,173,None,0,SpongeCake,1,50,Mithril,1,40,Felt,1,50,Platinum,1,20,EDropCoin::D500,500,0,true
Treasurebox_SAN019,174,None,0,ArmsRecipe019,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_SAN019,175,None,0,None,0,0,None,0,0,None,0,0,None,0,0,EDropCoin::D1000,2000,100,false
Treasurebox_SAN019,176,None,0,MaxHPUP,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_SAN020,177,None,0,SpongeCake,1,50,Mithril,1,40,Felt,1,50,Platinum,1,20,EDropCoin::D500,500,0,true
Treasurebox_SAN021,178,None,0,Keyofbacker1,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_SAN021,179,None,0,None,0,0,None,0,0,None,0,0,None,0,0,EDropCoin::D1000,2000,100,false
Treasurebox_SAN021,180,None,0,MaxHPUP,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_SAN021,181,None,0,MaxMPUP,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_SAN021,182,None,0,None,0,0,None,0,0,None,0,0,None,0,0,EDropCoin::D1000,2000,100,false
Treasurebox_SAN024,183,None,0,Redumbrella,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_TWR000,185,None,0,Ginger,1,40,Steel,1,40,Cotton,1,50,OakLumber,1,30,EDropCoin::D50,50,0,true
Treasurebox_TWR000,186,None,0,Mithridate,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_TWR000,187,None,0,Softpoint,5,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_TWR003,188,None,0,Ether,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_TWR004,189,None,0,Breathingforcedmask,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_TWR005,190,None,0,GadgetBand,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_TWR006,191,None,0,Emerald,1,40,Ruby,1,40,Sapphire,1,40,Silver,1,30,EDropCoin::D100,100,0,true
Treasurebox_TWR006,192,None,0,Emerald,1,40,Ruby,1,40,Sapphire,1,40,Silver,1,30,EDropCoin::D100,100,0,true
Treasurebox_TWR008,193,None,0,BalletRecipe002,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_TWR009,194,None,0,Partizan,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_TWR010,195,None,0,Emerald,1,40,Ruby,1,40,Sapphire,1,40,Silver,1,30,EDropCoin::D100,100,0,true
Treasurebox_TWR012,196,None,0,Emerald,1,40,Ruby,1,40,Sapphire,1,40,Silver,1,30,EDropCoin::D100,100,0,true
Treasurebox_TWR013,197,None,0,HighPotion,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_TWR013,198,None,0,Emerald,1,40,Ruby,1,40,Sapphire,1,40,Silver,1,30,EDropCoin::D100,100,0,true
Treasurebox_TWR015,199,None,0,Emerald,1,40,Ruby,1,40,Sapphire,1,40,Silver,1,30,EDropCoin::D100,100,0,true
Treasurebox_TWR016,200,None,0,HighPotion,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_TWR017,201,None,0,RemoteDart,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_TWR017,202,None,0,Ginger,1,40,Steel,1,40,Cotton,1,50,OakLumber,1,30,EDropCoin::D50,50,0,true
Treasurebox_TWR017,203,None,0,Mithridate,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_TWR017,204,None,0,WorldfashionNo06,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_TWR017,205,None,0,sunglasses,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_TWR017,206,None,0,MaxMPUP,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_TWR017,207,None,0,MaxHPUP,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_TWR018,208,None,0,Emerald,1,40,Ruby,1,40,Sapphire,1,40,Silver,1,30,EDropCoin::D100,100,0,true
Treasurebox_TWR018,209,None,0,WorldfashionNo07,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_TWR018,210,None,0,Emerald,1,40,Ruby,1,40,Sapphire,1,40,Silver,1,30,EDropCoin::D100,100,0,true
Treasurebox_TWR018,211,None,0,DishRecipe007,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_TWR018,212,None,0,SteamFlatWideEnd,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_TWR018,213,None,0,DishRecipe004,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_TWR018,214,None,0,MaxMPUP,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_TWR018,215,None,0,MaxHPUP,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_TWR019,216,None,0,Silverbromide,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_TWR019,217,None,0,BreastplateofAguilar,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_TWR019,218,None,0,MaxHPUP,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_TWR019,219,None,0,MaxBulletUP,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_LIB001,221,None,0,Emerald,1,40,Ruby,1,40,Sapphire,1,40,Silver,1,30,EDropCoin::D100,100,0,true
Treasurebox_LIB001,222,None,0,MaxBulletUP,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_LIB002,223,None,0,DishRecipe008,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_LIB007,224,None,0,Waystone,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_LIB009,225,None,0,NoseEyeglasses,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_LIB009,226,None,0,MacaroniAndCheese,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_LIB011,227,None,0,FeatherCrown,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_LIB012,228,None,0,MaxHPUP,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_LIB013,229,None,0,Garlic,1,50,WalnutLumber,1,40,DamascusSteel,1,40,Mithril,1,30,EDropCoin::D100,100,0,true
Treasurebox_LIB017,230,None,0,Garlic,1,50,WalnutLumber,1,40,DamascusSteel,1,40,Mithril,1,30,EDropCoin::D100,100,0,true
Treasurebox_LIB018,231,None,0,Garlic,1,50,WalnutLumber,1,40,DamascusSteel,1,40,Mithril,1,30,EDropCoin::D100,100,0,true
Treasurebox_LIB019,232,None,0,ArmsRecipe007,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_LIB022,233,None,0,Thunderscirclet,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
Treasurebox_LIB030,234,None,0,Garlic,1,50,WalnutLumber,1,40,DamascusSteel,1,40,Mithril,1,30,EDropCoin::D100,100,0,true
Treasurebox_LIB032,235,None,0,DishRecipe011,1,100,None,0,0,None,0,0,None,0,0,EDropCoin::None,0,0,false
